namen;Mathe;Physik;Biologie;Chemie;Deutsch;Geschichte;Englisch;Latein;Kunst;Sport;Musik;Erdkunde;Summe
Robert Freud;2;1;1;1;2;1;2;1;1;3;2;1;18
Uta Diederich;1;1;1;2;2;2;1;2;2;1;2;2;19
Marco Schroeder;3;2;2;1;1;2;2;2;1;2;3;2;23
Paul Theiss;1;2;1;4;2;2;2;1;3;2;2;4;26
Alexander Fuerst;3;1;4;1;3;1;4;2;2;2;1;2;26
Uwe Kuhn;2;2;2;2;1;2;2;4;1;4;1;4;27
Michael Fuchs;2;3;1;3;4;2;4;2;2;1;3;1;28
Ralph Bieber;2;4;3;1;3;2;3;3;3;2;1;4;31
Jan Bosch;4;1;3;4;4;3;1;4;3;1;2;1;31
Antje Moench;2;4;3;2;2;4;2;3;1;3;4;1;31
Christian Kastner;2;1;2;3;2;4;3;3;3;3;4;2;32
Maik Keller;1;4;3;2;2;1;2;2;3;3;3;3;29
Dirk Schmitt;3;3;3;1;4;2;2;3;1;3;3;1;29
Bernd Brauer;4;3;3;3;2;2;2;3;4;2;3;3;29
Sarah Eggers;3;4;3;1;3;3;2;4;3;3;3;1;33
Monika Adler;3;4;3;3;3;3;2;4;3;2;1;3;34
Kathrin Schreiner;3;3;3;4;2;4;3;1;3;3;1;4;34
Marina Hoover;2;4;3;4;3;1;4;3;4;3;4;2;37
Alexander Schneider;3;1;3;3;3;1;2;4;6;2;3;4;35
Michael Baer;3;4;4;3;5;2;3;2;2;4;2;6;40
Janina Himmel;5;4;5;3;3;3;2;4;4;3;2;5;43
René Fruehauf;5;2;3;5;4;5;4;4;5;2;3;1;43
Sabine Bürger;3;3;5;3;4;4;4;2;5;5;4;2;44
Ralph Freeh;4;5;2;1;4;5;2;4;5;2;5;5;44
Stefanie Kuefer;6;3;3;5;3;6;2;2;4;3;2;5;44
Doreen Mauer;1;6;5;4;3;1;4;5;4;2;5;4;44
Heike Schulz;4;3;3;2;3;4;6;4;6;4;3;3;45
Niklas Rothschild;6;5;3;5;3;5;6;1;1;4;2;5;46
Tom Fruehauf;3;4;5;5;4;4;2;4;5;5;2;5;48
Sarah Sankt;1;5;4;5;2;5;3;5;6;5;1;6;48
